region,station,2021_bt,2021_date,2021_notes,2010_bt,2015_bt,2016_bt,2017_bt,2018_bt,2019_bt,2019_date,notes
EBS,G-14,5.66,6/4,,2.6,4.8,5.8,3.7,5.1,5.66,6/4,
EBS,G-15,7.34,6/4,,3.1,6.5,7.5,5.2,6,7.34,6/4,
EBS,H-15,6.04,6/4,,2.1,5,6.4,3.8,5.5,6.04,6/4,
EBS,H-16,7.39,6/4,,2.9,5.8,7.3,5.4,6.2,7.39,6/4,
EBS,I-15,6.24,6/4,,2,5.1,6.6,4.0,5.3,6.24,6/4,
EBS,I-16,6.86,6/4,,2.4,5.8,6.9,4.9,6.4,6.86,6/4,
EBS,J-15,v,6/5,,1.8,5.6,7.1,4.9,5.8,6.49,6/4,
EBS,J-16,v,6/5,,1.9,6,7.6,5.2,6.2,6.76,6/4,
EBS,H-13,v,6/6,,2.3,4.5,5.8,3.6,4.6,5.02,6/5,
EBS,H-14,v,6/7,,2.3,4.8,6.1,3.4,5.1,5.46,6/5,
EBS,I-13,v,6/7,,1.7,4.6,6,3.3,4.3,5.48,6/5,
EBS,I-14,a,6/5,,2,4.6,6.4,3.4,5.1,5.88,6/5,
EBS,J-13,a,6/5,,1.9,4.4,5.9,3.3,4.4,6.1,6/5,
EBS,J-14,a,6/5,,2,5.3,6.8,4.0,5.1,6.46,6/5,
EBS,K-13,a,6/5,,2.5,4.7,6.9,4.8,4.7,6.43,6/5,
EBS,K-14,a,6/5,,3.7,5.2,8.4,5.7,6.2,8.13,6/5,
EBS,F-14,,,,3.6,5.5,6.6,4.8,6.3,7.68,6/6,
EBS,G-12,,,,2.1,4.4,5.4,3.2,4.8,4.75,6/6,
EBS,G-13,,,,2.3,4.5,5.5,3.6,4.8,5.2,6/6,
EBS,H-12,,,,2.3,4.2,5.7,3.3,4.7,4.58,6/6,
EBS,I-12,,,,1.6,3.3,5.9,2.9,4.1,5.13,6/6,
EBS,E-11,,,,1.5,4.8,5.4,2.9,5.4,4.86,6/7,
EBS,E-12,,,,1.7,5.3,6.1,4.0,5.8,5.93,6/7,
EBS,F-10,,,,0.6,4.4,5,1.4,4.8,4.64,6/7,
EBS,F-11,,,,0.4,4.3,5,1.8,4.3,4.61,6/7,
EBS,F-12,,,,1.5,4.5,5.4,2.9,5.1,5.02,6/7,
EBS,F-13,,,,1.8,4.7,5.7,3.4,5.3,5.49,6/7,
EBS,G-10,,,,2.2,4.9,5.6,3.0,4.7,4.88,6/7,
EBS,G-11,,,,1.5,4.6,5.2,2.0,4.5,4.81,6/7,
EBS,H-10,,,,2.2,5.3,6,3.5,4.6,5.7,6/7,
EBS,H-11,,,,2.3,4.9,5.8,3.2,4.7,5.79,6/7,
EBS,I-10,,,,2.1,5.3,6.5,3.6,4.8,6,6/7,
EBS,I-11,,,,1.9,3.9,6,2.8,4.6,5.39,6/7,
EBS,J-10,,,,2.8,4.3,6.5,3.7,4.8,6.29,6/7,
EBS,J-11,,,,2.4,4.2,6.1,3.0,4.5,6.05,6/7,
EBS,J-12,,,,2.2,3.8,5.8,3.2,4.1,6.02,6/7,
EBS,K-10,,,,3,5,6.9,4.9,5.4,6.72,6/7,
EBS,K-11,,,,4.8,5,6.4,4.2,5.1,6.58,6/7,
EBS,K-12,,,,6.4,6.6,7.5,6.2,7.2,6.77,6/7,
EBS,C-08,,,,1.8,4.8,5,2.3,4.2,4.93,6/8,
EBS,C-09,,,,2.1,5.6,5.6,3.0,5.5,4.89,6/8,
EBS,D-10,,,,1.6,4.7,5.2,2.9,4.9,4.94,6/8,
EBS,E-10,,,,0.2,4.4,4.9,2.3,5,4.43,6/8,
EBS,H-09,,,,2.1,5,5.9,2.6,4.6,6.21,6/8,
EBS,I-09,,,,2.2,5.2,7,3.9,4.7,6.56,6/8,
EBS,J-09,,,,2.6,4.8,6.9,3.9,4.8,6.55,6/8,
EBS,K-09,,,,3.2,4.8,7.4,5.0,5.3,7.81,6/8,
EBS,L-09,,,,3.9,4.8,7.6,6.1,6.3,7.98,6/8,
EBS,D-09,,,,1,4.2,4.7,2.0,4.8,4.48,6/9,
EBS,E-09,,,,0.2,4.2,4.7,1.1,4.4,4.32,6/9,
EBS,F-09,,,,-0.7,4.3,4.9,1.6,4.7,4.24,6/9,
EBS,G-09,,,,0.8,4.6,5.3,0.9,4.6,4.78,6/9,
EBS,A-06,,,,5.1,5.8,6.7,5.7,5.9,5.7,6/10,
EBS,B-06,,,,3,5.1,5.5,4.8,5.1,5.26,6/10,
EBS,B-07,,,,3,5,6.3,4.7,4.6,5.7,6/10,
EBS,B-08,,,,2.2,5.8,6.1,3.3,5.2,5.38,6/10,
EBS,D-08,,,,1.6,4.3,4.7,1.9,4.3,4.52,6/10,
EBS,E-08,,,,0.6,3.6,4.7,1.3,4.2,4.3,6/10,
EBS,F-08,,,,-1,4.1,4.7,0.8,4.1,4.08,6/10,
EBS,Z-05,,,,4.8,5.9,5.7,6.1,5.8,5.91,6/10,
EBS,A-05,,,,3.8,4.9,5.1,4.8,5,5.11,6/11,
EBS,B-05,,,,3.9,5.1,5,4.7,4.8,4.89,6/11,
EBS,C-05,,,,3.4,5.1,5.3,4.2,4.8,4.83,6/11,
EBS,C-06,,,,2.2,4.9,5.6,3.1,4.8,5.21,6/11,
EBS,C-07,,,,1.8,4.8,4.8,2.4,3.9,5.06,6/11,
EBS,G-08,,,,-0.6,4,4.9,0.6,4.5,4.14,6/11,
EBS,H-08,,,,1.3,4.8,5.7,1.6,4.6,5.27,6/11,
EBS,I-08,,,,2.3,4.9,6.7,3.3,4.5,6.57,6/11,
EBS,J-08,,,,2.5,5.2,7.2,4.0,4.9,6.19,6/11,
EBS,K-08,,,,3,5,7.6,4.8,5.2,6.46,6/11,
EBS,D-07,,,,1.8,4.6,4.7,1.9,4,4.69,6/12,
EBS,E-07,,,,0.4,4,4.7,1.5,3.9,4.45,6/12,
EBS,F-07,,,,-0.9,3.5,4.8,0.4,4.1,4.14,6/12,
EBS,G-07,,,,-1,3.6,4.7,-0.5,3.9,3.95,6/12,
EBS,H-07,,,,0.7,3.8,4.9,0.0,3.7,4,6/13,
