"","SRVY","stationid","stratum"
"1","NBS","U-24",81
"2","NBS","T-24",81
"3","NBS","T-23",81
"4","NBS","T-22",81
"5","NBS","U-22",81
"6","NBS","U-23",81
"7","NBS","V-24",81
"8","NBS","V-23",81
"9","NBS","W-23",81
"10","NBS","W-22",81
"11","NBS","V-22",70
"12","NBS","V-21",70
"13","NBS","V-20",70
"14","NBS","W-20",70
"15","NBS","W-21",70
"16","NBS","X-21",70
"17","NBS","Y-21",70
"18","NBS","ZZ-21",70
"19","NBS","Y-20",70
"20","NBS","X-20",70
"21","NBS","X-19",70
"22","NBS","X-18",70
"23","NBS","Y-18",70
"24","NBS","Y-01",70
"25","NBS","AA-18",71
"26","NBS","AA-19",71
"27","NBS","BB-19",71
"28","NBS","BB-18",71
"29","NBS","BB-01",71
"30","NBS","AA-01",71
"31","NBS","ZZ-01",71
"32","NBS","ZZ-02",71
"33","NBS","AA-02",71
"34","NBS","BB-02",71
"35","NBS","CC-04",71
"36","NBS","BB-04",71
"37","NBS","R-02",70
"38","NBS","R-03",70
"39","NBS","S-03",70
"40","NBS","T-03",70
"41","NBS","U-03",70
"42","NBS","V-03",70
"43","NBS","V-02",70
"44","NBS","U-02",70
"45","NBS","S-02",70
"46","NBS","T-02",70
"47","NBS","T-01",70
"48","NBS","T-18",70
"49","NBS","T-19",70
"50","NBS","S-19",70
"51","NBS","S-18",70
"52","NBS","S-01",70
"53","NBS","R-01",70
"54","NBS","W-27",81
"55","NBS","W-26",81
"56","NBS","X-26",81
"57","NBS","X-25",81
"58","NBS","W-25",81
"59","NBS","W-24",81
"60","NBS","X-24",81
"61","NBS","X-23",81
"62","NBS","X-22",70
"63","NBS","Y-22",70
"64","NBS","Y-23",81
"65","NBS","Y-24",81
"66","NBS","Y-25",81
"67","NBS","ZZ-24",81
"68","NBS","ZZ-23",81
"69","NBS","ZZ-22",70
"70","NBS","AA-22",70
"71","NBS","AA-23",81
"72","NBS","BB-22",71
"73","NBS","BB-21",71
"74","NBS","BB-20",71
"75","NBS","AA-21",71
"76","NBS","CC-21",71
